Date,Blindness,Mild,Mod-severe,Near
1990,0.60893,5.2044229,5.4498435,5.7292227
2000,0.5401989,5.0064095,5.6630457000000005,5.5587928
2010,0.4371604,4.819523,5.5772188,5.385777399999999
2020,0.3701105,4.6035189,5.1737878,5.2338178
